iter	Logloss
0	0.6521451958
1	0.6124663847
2	0.5857462797
3	0.5602692068
4	0.5404620132
5	0.5212277386
6	0.5016247037
7	0.4865755424
8	0.4720666063
9	0.4569801717
10	0.4466612221
11	0.4379488325
12	0.4289599761
13	0.419803934
14	0.4116178428
15	0.4057248046
16	0.402644896
17	0.3971541669
18	0.3921982521
19	0.3873254738
20	0.3837261661
21	0.3796602656
22	0.3766313357
23	0.3740042397
24	0.3709067742
25	0.3685550415
26	0.3662334929
27	0.3643866655
28	0.3630041354
29	0.3624061934
30	0.3597826788
31	0.3584840215
32	0.3569783409
33	0.3563676385
34	0.3550509453
35	0.3533111656
36	0.3522426256
37	0.3507071689
38	0.3495425734
39	0.3483492529
40	0.3475676669
41	0.3472801327
42	0.3464079086
43	0.3453632287
44	0.3442859732
45	0.3437593692
46	0.3432646134
47	0.3427664401
48	0.3422832594
49	0.3413996327
50	0.3407927596
51	0.3401309847
52	0.3393765526
53	0.3384942845
54	0.3381518408
55	0.3374306206
56	0.3368726923
57	0.3362944969
58	0.3356469093
59	0.3352161848
60	0.3346064025
61	0.3341469995
62	0.3340627023
63	0.3336960616
64	0.333153512
65	0.3326543285
66	0.3323090906
67	0.3318300112
68	0.331300536
69	0.3308611618
70	0.3299981138
71	0.3295784935
72	0.3289911204
73	0.3284198511
74	0.3275975867
75	0.3268953755
76	0.3264450617
77	0.3256488836
78	0.3254290784
79	0.3253212966
80	0.3251194258
81	0.3245806246
82	0.3243774469
83	0.3241560309
84	0.3238627522
85	0.3238485082
86	0.323392595
87	0.3228271375
88	0.3225213539
89	0.3223975243
90	0.3216826763
91	0.3213363469
92	0.3207091994
93	0.320388576
94	0.3202968081
95	0.3200230673
96	0.3197180804
97	0.3196915113
98	0.3196853713
99	0.319652954
100	0.3195115628
101	0.3193268512
102	0.3189571196
103	0.3188869203
104	0.3183285035
105	0.318002719
106	0.3177041185
107	0.3172413254
108	0.3169366378
109	0.316707972
110	0.3161394835
111	0.3154958462
112	0.3154957571
113	0.3153481844
114	0.3151522281
115	0.3151348495
116	0.3151092445
117	0.3144746488
118	0.3142324372
119	0.3141925277
120	0.3139616895
121	0.3136643516
122	0.3135781612
123	0.3135779274
124	0.3134863546
125	0.3134863376
126	0.3132203299
127	0.3129466694
128	0.3126624802
129	0.3117864044
130	0.3117232899
131	0.3113050857
132	0.3108668859
133	0.3103240094
134	0.3096210765
135	0.3094724034
136	0.3092120116
137	0.3090927699
138	0.3087457648
139	0.3085345256
140	0.3085306639
141	0.3082954486
142	0.3081437352
143	0.3079133283
144	0.3073651159
145	0.3073650164
146	0.3071665917
147	0.3069561034
148	0.3066855645
149	0.3066426114
150	0.3064123562
151	0.3062085033
152	0.3062083851
153	0.3059939689
154	0.3057898362
155	0.3056574416
156	0.3053392005
157	0.3052931573
158	0.3051006474
159	0.304995772
160	0.3047226786
161	0.3040845047
162	0.3038645964
163	0.3036435106
164	0.3033460663
165	0.303036985
166	0.3028169135
167	0.3025217887
168	0.3022933303
169	0.3022904969
170	0.3021895628
171	0.3020689927
172	0.3018163893
173	0.3018162828
174	0.3015111799
175	0.3013056743
176	0.3009101541
177	0.2996571682
178	0.299346374
179	0.2990135837
180	0.2988961293
181	0.2985182733
182	0.2980633576
183	0.2976930248
184	0.29709183
185	0.2963267297
186	0.2956115228
187	0.2955054809
188	0.2950809012
189	0.2949062699
190	0.2946494698
191	0.2941628405
192	0.2938945424
193	0.2934452603
194	0.2932399718
195	0.2930029109
196	0.2927849954
197	0.2924549953
198	0.2919891791
199	0.2910013347
200	0.2899957155
201	0.2895524593
202	0.2893492318
203	0.2892529157
204	0.2887053046
205	0.2874576949
206	0.2873074208
207	0.2869894522
208	0.2860528586
209	0.2854442132
210	0.2849568359
211	0.2840522429
212	0.2831068962
213	0.282749102
214	0.2819617892
215	0.2808661606
216	0.2806129472
