iter	Logloss
217	0.2803013594
218	0.2799534035
219	0.2798268218
220	0.2796407406
221	0.278976274
222	0.278747694
223	0.2784953939
224	0.2781019746
225	0.2778879866
226	0.276587712
227	0.2758679301
228	0.2756565102
229	0.2754687176
230	0.275145979
231	0.2748136837
232	0.2743499026
233	0.2732420405
234	0.2729670686
235	0.2721501729
236	0.2712910515
237	0.270664065
238	0.2703761553
239	0.2701236472
240	0.2698977826
241	0.2689879581
242	0.2687012187
243	0.2684342692
244	0.2676365514
245	0.2669672885
246	0.2667060376
247	0.2664847
248	0.2657934413
249	0.265000337
250	0.2648489655
251	0.2641111005
252	0.2634099995
253	0.2628502688
254	0.2621468332
255	0.2615530092
256	0.2608196756
257	0.2606839449
258	0.2601094052
259	0.2598314547
260	0.2594636561
261	0.2590329598
262	0.2590217793
263	0.2586089248
264	0.258027985
265	0.2575003491
266	0.2571183834
267	0.2567734682
268	0.2562041593
269	0.255728749
270	0.2552533435
271	0.2547725441
272	0.2545590846
273	0.2538635506
274	0.2536271039
275	0.2530827706
276	0.2528864323
277	0.2526503611
278	0.252193043
279	0.2517504677
280	0.2508216106
281	0.2503132484
282	0.2497691982
283	0.2495465184
284	0.2493802049
285	0.2493647229
286	0.2489581604
287	0.2485575989
288	0.2483572423
289	0.248286547
290	0.2480456677
291	0.2479122455
292	0.2478631122
293	0.2475572658
294	0.2471925865
295	0.2470116829
296	0.2464485294
297	0.2460739707
298	0.2456564512
299	0.2451585299
300	0.2447421605
301	0.2443326384
302	0.2442832116
303	0.2442697917
304	0.2441410869
305	0.2437183877
306	0.2435015449
307	0.2431357781
308	0.242778829
309	0.2424551519
310	0.2418358715
311	0.2417641102
312	0.2415718358
313	0.2412553087
314	0.2407434304
315	0.2400253214
316	0.2396661755
317	0.238910952
318	0.2387734936
319	0.2382786027
320	0.2375789732
321	0.2369365984
322	0.2363807263
323	0.2362605821
324	0.23611176
325	0.2359896751
326	0.2357217088
327	0.2350963382
328	0.2347405625
329	0.234652335
330	0.2345652003
331	0.234065142
332	0.2336466252
333	0.2333014601
334	0.2332072218
335	0.2325789274
336	0.2323013381
337	0.2321391222
338	0.2313873895
339	0.231103367
340	0.231023584
341	0.2303516886
342	0.2297912823
343	0.2293733451
344	0.2290336775
345	0.2287418396
346	0.2284861176
347	0.2280398196
348	0.2277682206
349	0.2275311589
350	0.2273970768
351	0.2268801073
352	0.2268315972
353	0.2264889595
354	0.2263226544
355	0.2257848371
356	0.2254754578
357	0.2254107989
358	0.2249546674
359	0.2245663726
360	0.2239254695
361	0.2238122316
362	0.2236748209
363	0.2236037912
364	0.2231301863
365	0.2228144023
366	0.2226125747
367	0.2223653152
368	0.2221787772
369	0.2218707949
370	0.2217343063
371	0.2215440578
372	0.2213840806
373	0.2210188812
374	0.2206180186
375	0.2205793811
376	0.2201396056
377	0.2200380755
378	0.2195859611
379	0.2192174086
380	0.2185187605
381	0.2183690287
382	0.2179398563
383	0.217544924
384	0.2174232077
385	0.2173425011
386	0.2171621467
387	0.2168355926
388	0.2167100636
389	0.2165295086
390	0.2163561659
391	0.2156310131
392	0.2153498555
393	0.2147605638
394	0.2145224189
395	0.2141488875
396	0.2138943482
397	0.2136531965
398	0.2133591462
399	0.2132579079
